"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300367","test_page_title","tests","Thu Sep 04 10:09:20 UTC 2025","broken","Thu Sep 04 10:14:20 UTC 2025","ExampleTestCase","test_example","",""
"","300358","test_send_message","tests","Thu Sep 04 10:14:20 UTC 2025","broken","Thu Sep 04 10:19:21 UTC 2025","ExampleTestCase","test_example","",""
"","183496","test_change_name","tests","Thu Sep 04 10:04:15 UTC 2025","broken","Thu Sep 04 10:07:19 UTC 2025","ExampleTestCase","test_example","",""
